order_id,customer_id,customer_name,email,order_date,ship_date,amount,city,state,status,product_id,quantity,email_is_null,ship_date_is_null,amount_is_null,city_is_null
1001,C001,6cea57c2fb6cbc2a,142d78e466cacab3,2024-01-05,2024-01-07,2500,Chennai,TN,Delivered,P101,2,0,0,0,0
1002,C002,8ae10dfc9a69f97d,0beaac69d53e38d2,2024-01-06,2024-01-09,1800,Bangalore,KA,Delivered,P102,1,0,0,0,0
1003,C003,a7ca11a0e0e38bef,nan,2024-01-07,2024-01-10,2200,Hyderabad,TS,Shipped,P103,3,1,0,0,0
1004,C004,346d7c6b988e4bd6,67b1f0778ba6613c,2024-01-08,2024-01-11,1500,Mumbai,MH,Delivered,P104,2,0,0,0,0
1005,C005,ce4c3b259cf559b4,c925f0c486796b3d,2024-13-01,2024-01-12,2000,Pune,MH,Delivered,P105,1,0,0,0,0
1006,C006,d67385dfe5fa782b,5b2b5147fab4b97f,2024-01-10,,1700,Chennai,TN,Pending,P106,2,0,1,0,0
1007,C007,50d19e05efb2b8b4,f3b7d7b98b4e4d12,2024-01-11,2024-01-15,-500,Delhi,DL,Delivered,P107,1,0,0,0,0
1008,C008,9363a7f6df7316b4,bfc8624037718c85,2024-01-12,2024-01-16,2100,Ahmedabad,GJ,Shipped,P108,2,0,0,0,0
1009,C009,2d426be6a60758d5,ccff496f1573a899,2024-01-13,2024-01-17,,Kolkata,WB,Delivered,P109,1,0,0,1,0
1010,C010,188492b7d2dafb01,aef900077a1aed39,2024-01-14,2024-01-18,1900,Jaipur,RJ,Delivered,P110,2,0,0,0,0
1011,C011,1102915724153553,0c6fc6af941a4e18,2024-01-15,2024-01-19,1750,Lucknow,UP,Cancelled,P111,1,0,0,0,0
1012,C012,6d419d465d654f43,c8c377786a28ca0b,2024-01-16,2024-01-20,1600,Chennai,TN,Delivered,P112,2,0,0,0,0
1013,C012,6d419d465d654f43,c8c377786a28ca0b,2024-01-16,2024-01-20,1600,Chennai,TN,Delivered,P112,2,0,0,0,0
1014,C013,6b74ed9b2a50467a,1f7fca3cd6021eac,2024-01-17,2024-01-21,1800,Bhubaneswar,OD,Delivered,P113,1,0,0,0,0
1015,C014,aa1c753f6b6fa730,5f74175f0d32d958,2024-01-18,2024-01-22,abc,Delhi,DL,Delivered,P114,2,0,0,0,0
1016,C015,999773f5f9928191,a72cc6e5537a5d00,2024-01-19,2024-01-23,2300,,MH,Shipped,P115,3,0,0,0,1
1017,C016,a495ad62cf96c97b,3a8887d9d7707101,2024-01-20,2024-01-25,2100,Chennai,TN,Pending,P116,2,0,0,0,0
